Nome,Streaming,Url
Mobile Suit Gundam: Char's Counterattack,"netflix,crunchyroll","http://www.netflix.com/title/60024179,https://www.crunchyroll.com/pt-br/series/GKEH2G9XV/mobile-suit-gundam"
Godzilla Singular Point,netflix,http://www.netflix.com/title/80234811
Godzilla: The Planet Eater,netflix,http://www.netflix.com/title/80198623
PSYCHO-PASS: The Movie,netflix,http://www.netflix.com/title/80100171
The Orbital Children,netflix,http://www.netflix.com/title/81340914
Batman Ninja,max,https://play.max.com/movie/a603cede-8ceb-4ca5-98e6-bc04401941f5
Vampire in the Garden,netflix,http://www.netflix.com/title/80996247
Ultramarine Magmell,netflix,http://www.netflix.com/title/81019771
Earwig and the Witch,netflix,http://www.netflix.com/title/81316559
The Cat Returns,netflix,http://www.netflix.com/title/70019058
Samurai 7,netflix,http://www.netflix.com/title/70205019
Scissor Seven,netflix,http://www.netflix.com/title/81156880
Scissor Seven Season 2,netflix,http://www.netflix.com/title/81156880
Scissor Seven Season 3,netflix,http://www.netflix.com/title/81156880
Wu Liuqi: Anying Suming,netflix,http://www.netflix.com/title/81156880
"One Piece: The Desert Princess and the Pirates, Adventures in Alabasta","netflix,primevideo","http://www.netflix.com/title/70086565,https://www.primevideo.com/-/pt/detail/0QON32QPU4D4Y5CC72EENEQ8MB"
Porco Rosso,netflix,http://www.netflix.com/title/70019060
Kakegurui Twin,netflix,http://www.netflix.com/title/81176966
A Whisker Away,netflix,http://www.netflix.com/title/81281872
Yasuke,netflix,http://www.netflix.com/title/80990863
High-Rise Invasion,netflix,http://www.netflix.com/title/81043571
Only Yesterday,netflix,http://www.netflix.com/title/80092922
Dinosaur King,"netflix,primevideo","http://www.netflix.com/title/80007912,https://app.primevideo.com/detail?gti=amzn1.dv.gti.a8b54f46-d052-151c-1100-eec1864aa635"
Thus Spoke Rohan Kishibe,netflix,http://www.netflix.com/title/81280998
Rilakkuma's Theme Park Adventure,netflix,http://www.netflix.com/title/81341765
One Piece Film: Strong World,"netflix,primevideo","http://www.netflix.com/title/80998781,https://www.primevideo.com/-/pt/detail/0LI4D5QK9N4LGPKKRYQZK0OFBJ"
The Tale of The Princess Kaguya,netflix,http://www.netflix.com/title/80013552
Mobile Suit Gundam II: Soldiers of Sorrow,netflix,http://www.netflix.com/title/70014612
Teasing Master Takagi-san Season 2,netflix,http://www.netflix.com/title/80228274
STAND BY ME Doraemon,netflix,http://www.netflix.com/title/80158156
Eden,netflix,http://www.netflix.com/title/80992783
Back Street Girls -GOKUDOLS-,netflix,http://www.netflix.com/title/80996957
Godzilla: Planet of the Monsters,netflix,http://www.netflix.com/title/80180373
The Irregular at Magic High School,crunchyroll,https://www.crunchyroll.com/pt-br/series/GRMGDGZVR/the-irregular-at-magic-high-school
Child of Kamiari Month,netflix,http://www.netflix.com/title/81478031
My Neighbors the Yamadas,netflix,http://www.netflix.com/title/70035035
Baki Hanma,netflix,http://www.netflix.com/title/81236338
Hi Score Girl,netflix,http://www.netflix.com/title/80997338
Hi Score Girl: Extra Stage,netflix,http://www.netflix.com/title/80997338
Hi Score Girl II,netflix,http://www.netflix.com/title/80997338
Sailor Moon S Movie: Hearts in Ice,netflix,http://www.netflix.com/title/80116992
Pokémon: Mewtwo Strikes Back—Evolution,netflix,http://www.netflix.com/title/81223075
Fate/Grand Order: First Order,crunchyroll,https://www.crunchyroll.com/pt-br/series/GYNQ3N8ZY/fategrand-order-first-order
One Piece Film: Z,"netflix,primevideo","http://www.netflix.com/title/80198443,https://www.primevideo.com/-/pt/detail/0T0UOEYDK8EFV55KDCDNAH8F7B"
Blue Period,netflix,http://www.netflix.com/title/81318842
Kuroko's Basketball: Last Game,netflix,http://www.netflix.com/title/80991755
A.I.C.O. -Incarnation-,netflix,http://www.netflix.com/title/80161848
Yowamushi Pedal,"primevideo,crunchyroll","https://www.primevideo.com/detail/0S3S0LMFT0LG9S2C5H2XODH9DE/ref=atv_sr_fle_c_Tn74RA_1_1_1 ,https://www.crunchyroll.com/pt-br/series/GRGGVKP4R/yowamushi-pedal"
Yowamushi Pedal: Grande Road,"primevideo,crunchyroll","https://www.primevideo.com/detail/0LH2RH3JTQZ75SUZ5D1RORMTSH/ref=atv_sr_fle_c_Tn74RA_2_1_2 ,https://www.crunchyroll.com/pt-br/series/GRGGVKP4R/yowamushi-pedal"
From Up on Poppy Hill,netflix,http://www.netflix.com/title/70262786
Sailor Moon SuperS the Movie: Black Dream Hole,netflix,http://www.netflix.com/title/60001990
Altered Carbon: Resleeved,netflix,http://www.netflix.com/title/81001991
B: The Beginning,netflix,http://www.netflix.com/title/80097594
B: The Beginning: Succession,netflix,http://www.netflix.com/title/80097594
7SEEDS,netflix,http://www.netflix.com/title/80183051
7SEEDS Part 2,netflix,http://www.netflix.com/title/80183051
Beyblade Burst Rise,netflix,http://www.netflix.com/title/81325983
Japan Sinks: 2020,netflix,http://www.netflix.com/title/80993018
Little Witch Academia (TV),netflix,http://www.netflix.com/title/80156387
Pom Poko,netflix,http://www.netflix.com/title/70035036
When Marnie Was There,netflix,http://www.netflix.com/title/80036398
Dragon's Dogma,netflix,http://www.netflix.com/title/80992784
One Piece: Episode Of Chopper +: The Miracle Winter Cherry Blossom,netflix,http://www.netflix.com/title/80998780
Darwin's Game,"netflix,crunchyroll","http://www.netflix.com/title/81234353,https://www.crunchyroll.com/pt-br/series/G61X24PZ6/darwins-game"
Fate/Apocrypha,netflix,http://www.netflix.com/title/80180849
Carole & Tuesday,netflix,http://www.netflix.com/title/80992137
Legend of Exorcism,netflix,http://www.netflix.com/title/81365011
Beyblade Burst Surge,netflix,http://www.netflix.com/title/81567663
Beyblade Burst QuadDrive,netflix,https://www.netflix.com/title/81670673
Beyblade Burst Evolution,primevideo,https://www.primevideo.com/detail/0IPGF8JRL0B03T1D0NQ2D66YWX/ref=atv_sr_fle_c_Tn74RA_2_1_2
CYBORG009 CALL OF JUSTICE 1,netflix,http://www.netflix.com/title/80057749
CYBORG009 CALL OF JUSTICE 2,netflix,http://www.netflix.com/title/80057749
CYBORG009 CALL OF JUSTICE 3,netflix,http://www.netflix.com/title/80057749
Mobile Suit GUNDAM Iron Blooded Orphans,crunchyroll,https://www.crunchyroll.com/pt-br/series/GYQ4QK446/mobile-suit-gundam-iron-blooded-orphans
Mobile Suit GUNDAM Iron Blooded Orphans 2,crunchyroll,https://www.crunchyroll.com/pt-br/series/GYQ4QK446/mobile-suit-gundam-iron-blooded-orphans
Ocean Waves,netflix,https://www.netflix.com/title/80158668
Glitter Force,netflix,https://www.netflix.com/title/80057968
Glitter Force Doki Doki,netflix,http://www.netflix.com/title/80175619
Cannon Busters,netflix,http://www.netflix.com/title/80195357
Sirius the Jaeger,netflix,http://www.netflix.com/title/80997339
Fate/EXTRA Last Encore,netflix,http://www.netflix.com/title/80185145
STAND BY ME Doraemon 2,netflix,http://www.netflix.com/title/81451264
The Seven Deadly Sins the Movie: Prisoners of the Sky,netflix,http://www.netflix.com/title/81006261
Big Fish & Begonia,netflix,http://www.netflix.com/title/80233883
Drifting Dragons,netflix,http://www.netflix.com/title/80992788
Godzilla: City on the Edge of Battle,netflix,http://www.netflix.com/title/80180376
SOUND & FURY,netflix,http://www.netflix.com/title/81171121
Flavors of Youth,netflix,http://www.netflix.com/title/80234491
New Gods: Nezha Reborn,netflix,http://www.netflix.com/title/81418302
Forest of Piano,netflix,http://www.netflix.com/title/80986797
Forest of Piano Season 2,netflix,http://www.netflix.com/title/80986797
BLAME!,netflix,http://www.netflix.com/title/80115466
Rilakkuma and Kaoru,netflix,http://www.netflix.com/title/80196883
Levius,netflix,http://www.netflix.com/title/80156799
SWORDGAI The Animation,netflix,http://www.netflix.com/title/80175350
SWORDGAI The Animation Part II,netflix,http://www.netflix.com/title/80175350
Revisions,netflix,http://www.netflix.com/title/80992787
Kuromukuro,netflix,http://www.netflix.com/title/80103318
Ingress: The Animation,netflix,http://www.netflix.com/title/80992853
LAST HOPE,netflix,http://www.netflix.com/title/80221272
